"","SRR2105159.count","SRR2105160.count","SRR2105161.count","SRR2105162.count","SRR2105163.count","SRR2105164.count","SRR2105165.count","SRR2105166.count","SRR2105167.count","SRR2105168.count","SRR2105169.count","SRR2105170.count","SRR2105171.count","SRR2105172.count","SRR2105173.count","SRR2105174.count","SRR2105207.count","SRR2105208.count","SRR2105209.count","SRR2105210.count","SRR2105211.count","SRR2105212.count","SRR2105213.count","SRR2105214.count","SRR2105215.count","SRR2105216.count","SRR2105217.count","SRR2105218.count","SRR2105219.count","SRR2105220.count","SRR2105221.count","SRR2105222.count","SRR2105239.count","SRR2105240.count","SRR2105241.count","SRR2105242.count","SRR2105243.count","SRR2105244.count","SRR2105245.count","SRR2105246.count","SRR2105247.count","SRR2105248.count","SRR2105249.count","SRR2105250.count","SRR2105251.count","SRR2105252.count","SRR2105253.count","SRR2105254.count","SRR2105287.count","SRR2105288.count","SRR2105289.count","SRR2105290.count","SRR2105291.count","SRR2105292.count","SRR2105293.count","SRR2105294.count","SRR2105295.count","SRR2105296.count","SRR2105297.count","SRR2105298.count","SRR2105299.count","SRR2105300.count","SRR2105301.count","SRR2105302.count","SRR2105335.count","SRR2105336.count","SRR2105337.count","SRR2105338.count","SRR2105339.count","SRR2105340.count","SRR2105341.count","SRR2105342.count","SRR2105343.count","SRR2105344.count","SRR2105345.count","SRR2105346.count","SRR2105347.count","SRR2105348.count","SRR2105349.count","SRR2105350.count","SRR2105385.count","SRR2105386.count","SRR2105387.count","SRR2105388.count","SRR2105389.count","SRR2105390.count","SRR2105391.count","SRR2105392.count","SRR2105393.count","SRR2105394.count","SRR2105395.count","SRR2105396.count","SRR2105397.count","SRR2105398.count","SRR2105399.count","SRR2105400.count","SRR2105449.count","SRR2105450.count","SRR2105499.count","SRR2105500.count"
"hsa-let-7e-5p",838.691641039978,814.583241600986,637.999234400919,796.072707973995,768.935024990388,944.510035419126,831.903499194093,742.758108442684,950.220696419814,624.326011691923,355.745286374956,680.683708969899,625.782227784731,479.089166948484,572.278814238297,610.997963340122,754.034082340522,757.947300370057,1054.29625724829,1285.43883453546,757.487472322573,1146.07209835382,303.56910533848,603.864734299517,504.646957399386,475.825971822827,451.393163445361,494.559841740851,570.85144688886,264.76039184538,694.846554719166,541.884482978452,1224.1054613936,970.175467942392,948.154890582926,963.068419730341,825.695648583932,788.076066472503,682.771401632149,340.47382607462,683.760683760684,552.224676554118,764.603935161586,509.861178706343,820.89552238806,624.456993918332,524.819593264815,598.163896907753,1244.70998257406,744.835156219374,872.52020573108,744.715061862126,418.546249360554,692.94581163753,649.74242353924,721.990067166955,662.213520672579,481.309160917696,1479.13365029054,1521.54566072403,555.355917807324,421.162408246761,500.045458678062,411.443618509477,745.025856779735,516.098957813072,848.550675446338,786.640226814599,783.97212543554,914.494741655236,827.221088622953,886.693267464691,301.955159658791,398.117140113815,580.315691736305,649.302000349624,1191.12073632918,766.932007510645,798.346952193106,685.033507073716,939.093104373491,864.858832719563,985.06639347492,752.534854245881,643.270674004717,541.486923090807,788.91404266996,469.100550683255,235.700817096166,559.043605401221,552.321876194927,491.320013101867,537.762906309751,610.785757913268,403.632694248234,393.419170243205,1048.07473228526,1048.73534855028,988.002822865208,944.988187647654
"hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-3p",908.582611126643,682.488661881907,510.399387520735,486.488877095219,288.350634371396,519.480519480519,883.897467893724,770.267668014635,214.5659637077,368.919915999773,569.192458199929,491.604900922705,341.335760609853,676.361176868448,801.190339933616,162.932790224033,829.437490574574,802.532435685942,225.920626553204,607.012782975077,466.146136813891,347.294575258734,390.303135435188,314.009661835749,378.48521804954,372.385543165691,533.464647708154,586.144997618786,526.939797128178,205.924749213073,521.134916039375,414.382251689405,376.647834274953,752.722345817373,530.966738726438,439.661669876895,536.702171579556,445.43429844098,260.103391097961,567.456376791034,410.25641025641,578.521089723362,407.788765419513,440.334654337296,597.014925373134,244.352736750652,262.409796632408,338.092637382643,497.883993029624,607.628680073699,275.532696546657,456.984242506305,697.577082267591,593.953552832168,464.101731099457,437.569737676942,345.502706437867,541.472806032408,316.957210776545,660.293399936841,130.671980660547,220.608880510208,363.669424493136,301.725320240283,964.151108773775,599.340725202278,373.362297196389,508.038479817762,783.97212543554,502.97210791038,275.740362874317,506.68186712268,566.165924360232,562.047727219503,290.157845868152,299.677846315211,297.780184082296,581.810488456351,375.692683384991,268.056589724497,268.312315535283,502.176096417811,354.623901650971,435.678073510773,607.533414337789,487.338230781727,411.607326610414,428.309198449929,432.118164676304,408.531865485508,254.917789013043,382.137787968119,448.135755258126,610.785757913268,100.908173562059,143.061516452074,592.390066074277,678.59346082665,517.52528816749,539.993250084374
"hsa-let-7f-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g-3p",0,0,0,0,0,0,0,0,0,28.3784550769056,0,0,0,28.181715702852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2964131692437,0,0,0,0,0,26.007125952511,0,19.6009251636677,0,0,0,19.7984517610723,0,21.8784868838471,0,20.0545483715707,0,0,0,0,0,0,0,0,0,0,0,0,0,21.111744463445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g-5p",0,0,127.599846880184,0,0,0,0,27.5095595719513,0,0,0,37.8157616094388,0,0,0,0,75.4034082340522,0,0,0,0,0,0,0,0,0,0,0,87.823299521363,29.4178213161533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7349661054013,0,0,0,0,0,0,39.5969035221446,0,0,0,20.0545483715707,0,0,0,40.1107055473106,45.458678061642,0,0,0,0,0,43.5540069686411,22.8623685413809,0,0,0,0,0,0,0,0,0,0,0,0,39.4026557389968,39.6070975918885,0,18.0495641030269,0,0,0,0,0,27.2955562834371,0,0,33.6360578540195,0,0,0,0,0
"hsa-let-7i-3p",559.127760693318,572.409845449342,255.199693760367,176.905046216443,144.175317185698,70.8382526564345,415.951749597047,495.172072295123,30.6522805296714,0,0,113.447284828316,113.778586869951,56.363431405704,0,0,150.806816468104,326.957658983162,0,35.7066342926516,116.536534203473,69.4589150517469,86.7340300967084,96.6183574879227,42.0539131166155,82.7523429257091,328.285937051172,164.853280580284,43.9116497606815,88.25346394846,115.807759119861,63.7511156445238,282.485875706215,284.361775086563,303.409564986536,209.362699941378,0,205.585060818914,130.051695548981,0,170.940170940171,184.074892184706,101.947191354878,0,74.6268656716418,27.1503040834057,43.7349661054013,26.007125952511,99.5767986059248,98.0046258183386,183.688464364438,135.402738520387,0,0,92.8203462198914,87.5139475353885,28.7918922031556,60.163645114712,105.652403592182,229.667269543249,228.675966155957,80.2214110946212,45.458678061642,192.007021971089,262.950302392848,332.967069556821,101.826081053561,49.1650141759124,130.662020905923,137.174211248285,0,42.22348892689,37.7443949573488,0,116.063138347261,24.9731538596009,108.283703302653,52.891862586941,0,0,0,27.8986720232117,0,99.0177439797212,321.635337002359,198.545205133296,0,20.3956761166633,39.2834695160277,64.5050313924486,42.4862981688405,27.2955562834371,179.25430210325,179.642869974491,0,17.8826895565093,91.1369332421964,30.8451573103023,188.191013879087,112.498593767578
"hsa-let-7i-5p",0,0,0,0,0,23.6127508854782,0,0,0,28.3784550769056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0545483715707,0,0,32.6679951651367,0,0,0,0,49.9450604335231,33.9420270178535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4026557389968,0,0,0,0,40.7913522333265,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1-3p",139.78194017333,88.0630531460526,127.599846880184,176.905046216443,144.175317185698,141.676505312869,155.981906098893,192.566917003659,91.9568415890142,227.027640615245,71.1490572749911,226.894569656633,56.8892934349755,140.90857851426,0,40.7331975560081,150.806816468104,297.234235439238,150.61375103547,214.239805755909,116.536534203473,138.917830103494,173.468060193417,144.927536231884,126.161739349847,82.7523429257091,41.0357421313964,73.2681247023482,87.823299521363,58.8356426323067,115.807759119861,127.502231289048,94.1619585687382,317.816101567335,379.26195623317,83.7450799765514,247.70869457518,274.113414425218,97.5387716617355,85.1184565186551,136.752136752137,131.482065846219,50.9735956774391,139.053048738094,223.880597014925,27.1503040834057,87.4699322108025,78.021377857533,99.5767986059248,254.81202712768,45.9221160911095,118.477396205338,139.515416453518,138.589162327506,46.4101731099457,153.14940818693,115.167568812622,220.600032087277,52.8262017960909,114.833634771625,65.3359903302734,40.1107055473106,136.376034184926,82.2887237018954,482.075554386888,249.725302167616,135.768108071414,213.048394762287,391.98606271777,160.036579789666,275.740362874317,84.4469778537801,113.233184872046,93.6746212032505,58.0315691736305,99.8926154384037,27.0709258256632,185.121519054294,46.9615854231239,59.5681310498883,89.437438511761,181.341368150876,78.8053114779936,158.428390367554,464.584375670074,234.64433333935,137.202442203471,81.5827044666531,196.417347580138,64.5050313924486,84.9725963376811,81.8866688503112,179.25430210325,125.750008982143,33.6360578540195,35.7653791130186,182.273866484393,185.070943861814,47.0477534697718,112.498593767578
"hsa-miR-1-5p",419.345820519989,264.189159438158,1148.39862192165,1348.90097740038,192.233756247597,141.676505312869,987.885405292986,1320.45885945366,398.479646885728,397.298371076679,569.192458199929,642.86794736046,0,84.545147108556,57.2278814238297,0,1357.26134821294,861.97928277379,0,142.826537170606,0,0,86.7340300967084,72.463768115942,42.0539131166155,20.6880857314273,41.0357421313964,91.5851558779353,87.823299521363,88.25346394846,231.615518239722,159.377789111309,847.457627118644,986.902631182778,113.778586869951,146.553889958965,41.2847824291966,0,65.0258477744904,28.3728188395517,273.504273504273,78.8892395077311,203.894382709756,115.877540615078,261.194029850746,434.404865334492,0,52.014251905022,99.5767986059248,78.4037006546709,137.766348273328,84.6267115752416,46.5051388178394,19.7984517610723,185.640692439783,87.5139475353885,86.3756766094668,100.272741857853,422.609614368727,200.958860850343,98.0039854954101,120.332116641932,90.9173561232839,54.8591491345969,175.300201595232,199.780241734092,169.710135089268,147.495042527737,43.5540069686411,91.4494741655236,0,84.4469778537801,113.233184872046,70.2559659024379,232.126276694522,24.9731538596009,270.709258256632,290.905244228175,140.884756269372,89.3521965748325,804.936946605849,544.024104452628,433.429213128965,415.874524714829,142.949038667715,126.346948721188,0,0,549.968573224387,344.026834093059,0,0,179.25430210325,125.750008982143,1076.35385132862,1019.31330472103,318.979266347687,154.225786551511,94.0955069395436,134.998312521093
