"","gene_id","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105154.count","SRR2105158.count","SRR2105187.count","SRR2105188.count","SRR2105192.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105228.count","SRR2105230.count","SRR2105272.count","SRR2105275.count","SRR2105276.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105376.count","SRR2105429.count","SRR2105430.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105477.count","SRR2105478.count","SRR2105488.count","SRR2105491.count","SRR2105492.count"
"2238","hsa-miR-6792-3p",282.936884864898,79.4817788022096,133.087860169022,197.204624448443,111.804297757206,117.647058823529,73.8811621506806,96.7094606029835,128.046438174911,0,51.0999259051074,188.17773386964,39.6055289318389,97.0752610631128,70.2321171471714,65.9608851950793,468.779298706169,330.082933337001,198.478332782005,170.131155654541,72.8420541459269,46.2748727441,138.350857775318,162.716277051581,0,72.2073795941945,18.5274391373624,82.5218682950982,86.2321714985427,207.154808381802,127.469725940089,630.293480401812,657.877424278308,67.5173857268247,0,193.380849770706,71.4660060031445,90.6796439312648
"2239","hsa-miR-6792-5p",202.097774903498,834.558677423201,931.615021183151,419.059826952942,447.217191028823,784.313725490196,646.460168818455,423.103890138053,384.139314524734,486.445849732455,868.698740386826,352.833251005575,376.252524852469,235.754205438988,386.276644309443,527.687081560635,1281.3300831302,907.728066676753,860.072775388687,773.323434793368,1116.91149690421,1233.99660650933,737.871241468364,569.506969680534,168.922995246024,324.933208173875,129.692073961537,330.087473180393,741.596674887467,2023.74312803761,2077.75653282345,78.7866850502265,131.575484855662,180.046361938199,158.229934466435,607.768384993646,643.194054028301,664.984055495942
"2240","hsa-miR-6793-3p",20.2097774903498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1132739885441
"2241","hsa-miR-6793-5p",0,0,0,0,0,0,18.4702905376702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2242","hsa-miR-6794-3p",383.985772316647,874.299566824305,798.527161014129,345.108092784776,491.938910131705,745.098039215686,591.049297205445,362.660477261188,256.092876349823,1061.33639941627,1073.09844400726,517.48876814151,455.463582716147,305.093677626926,456.508761456614,461.726196365555,1031.31445715357,880.221155565336,595.434998346014,788.789903489235,946.94670389705,863.797624556532,876.222099243682,650.865108206324,579.164555129226,324.933208173875,352.021343609886,949.001485393629,983.046755083387,1705.04342283483,1873.80497131931,433.326767776246,368.411357595853,382.598519118673,342.831524677277,386.761699541411,452.618038019915,513.851315610501
"2243","hsa-miR-6794-5p",20.2097774903498,0,66.5439300845108,49.3011561121108,22.3608595514412,0,92.3514526883508,12.0886825753729,21.3410730291519,44.2223499756777,0,0,0,55.4715777503502,35.1160585735857,32.9804425975397,0,55.0138222228335,0,15.4664686958674,24.280684715309,15.4249575813667,0,0,96.527425854871,0,55.5823174120873,0,17.2464342997085,15.9349852601386,12.7469725940089,118.18002757534,105.260387884529,0,13.185827872203,27.6258356815294,23.8220020010482,15.1132739885441
"2244","hsa-miR-6795-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2245","hsa-miR-6795-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2246","hsa-miR-6796-3p",20.2097774903498,39.7408894011048,22.1813100281703,49.3011561121108,0,156.862745098039,73.8811621506806,36.2660477261188,64.0232190874557,0,153.299777715322,70.566650201115,79.2110578636778,55.4715777503502,35.1160585735857,65.9608851950793,62.5039064941559,96.2741888899586,66.1594442606682,108.265280871072,97.1227388612359,77.1247879068333,0,0,96.527425854871,36.1036897970973,18.5274391373624,82.5218682950982,34.4928685994171,143.414867341248,76.4818355640535,157.573370100453,26.3150969711323,45.0115904845498,13.185827872203,55.2516713630587,47.6440040020963,0
"2247","hsa-miR-6796-5p",0,0,0,0,0,0,0,0,0,0,0,23.522216733705,0,0,0,0,0,0,0,0,0,0,0,27.1193795085968,0,0,0,0,0,0,0,0,0,0,13.185827872203,55.2516713630587,0,0
"2248","hsa-miR-6797-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
