"gene_id","SRR2105159.count","SRR2105160.count","SRR2105161.count","SRR2105162.count","SRR2105163.count","SRR2105165.count","SRR2105166.count","SRR2105167.count","SRR2105207.count","SRR2105208.count","SRR2105209.count","SRR2105210.count","SRR2105211.count","SRR2105212.count","SRR2105213.count","SRR2105214.count","SRR2105215.count","SRR2105216.count","SRR2105217.count","SRR2105218.count","SRR2105219.count","SRR2105220.count","SRR2105221.count","SRR2105222.count","SRR2105239.count","SRR2105240.count","SRR2105241.count","SRR2105242.count","SRR2105243.count","SRR2105244.count","SRR2105245.count","SRR2105246.count","SRR2105247.count","SRR2105248.count","SRR2105249.count","SRR2105250.count","SRR2105251.count","SRR2105252.count","SRR2105253.count","SRR2105254.count","SRR2105287.count","SRR2105288.count","SRR2105289.count","SRR2105290.count","SRR2105291.count","SRR2105292.count","SRR2105293.count","SRR2105294.count","SRR2105295.count","SRR2105296.count","SRR2105297.count","SRR2105298.count","SRR2105299.count","SRR2105300.count","SRR2105335.count","SRR2105336.count","SRR2105337.count","SRR2105338.count","SRR2105339.count","SRR2105340.count","SRR2105341.count","SRR2105342.count","SRR2105343.count","SRR2105344.count","SRR2105345.count","SRR2105346.count","SRR2105347.count","SRR2105348.count","SRR2105349.count","SRR2105350.count","SRR2105385.count","SRR2105386.count","SRR2105387.count","SRR2105388.count","SRR2105389.count","SRR2105390.count","SRR2105391.count","SRR2105392.count","SRR2105393.count","SRR2105394.count","SRR2105395.count","SRR2105396.count","SRR2105397.count","SRR2105398.count","SRR2105399.count","SRR2105400.count","SRR2105449.count","SRR2105450.count","SRR2105499.count","SRR2105500.count"
"hsa-let-7e-5p",832.986255726781,808.973041519995,635.364381472775,792.201219109654,767.975424786407,829.230370562322,741.391619528804,949.173300673607,750.694392312889,754.806340373259,1052.47331228387,1282.46232766912,757.443337411874,1145.35610162432,302.964726249729,602.453189387185,504.201680672269,475.403059115337,449.25464570145,491.704758609386,570.200447388043,264.441440912029,691.802144586648,540.111199364575,1222.72385252069,967.618157855224,947.29263764162,961.860153897625,824.980406715341,787.293763264188,681.198910081744,339.962604113548,681.640025902321,550.184704865205,764.019762644527,509.212109989816,818.787450221445,622.884224779959,524.292205522545,597.821849088971,1241.37246139332,743.14546094575,871.399743166392,743.620077742099,464.640832636372,692.575589678645,649.169989798757,720.760074260129,661.033511524976,480.249729859527,1472.59913747765,1514.50207172453,554.450278855875,420.56355516392,748.79971809893,531.464350367873,848.608282416836,789.759452433446,788.194596488155,896.943492559969,828.180212014134,866.404632095009,302.755071147442,397.419113521601,579.27359091699,648.217402144104,1188.80363125473,765.514874745928,797.036898119931,684.25906643263,939.051111210482,864.76232983709,984.368232468402,751.9392116511,642.627632988218,540.803634200422,788.8058165855,469.052717446722,235.312573535179,557.93991416309,551.454992788665,490.115994118608,537.137059473009,609.843593054958,403.429147755925,393.29960491267,1047.35883424408,1047.83037475345,987.956341738803,944.88188976378
"hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-3p",902.401777037346,677.788223976212,508.29150517822,484.122967233677,287.990784294903,881.057268722467,768.850568400242,214.329454990814,825.763831544178,799.206713336392,225.5299954894,605.607210288198,466.118976868846,347.077606552825,389.526076606795,313.275658481336,378.151260504202,372.054568003307,530.937308556259,582.761195388902,526.33887451204,205.676676264912,518.851608439986,413.026211278793,376.222723852521,750.738225922157,530.483877079307,439.110070257611,536.237264364971,444.992127062367,259.504346697807,566.604340189246,408.984015541393,576.383976525453,407.477206743748,439.774094991204,595.481781979233,243.73730534868,262.146102761272,337.89930600681,546.203883013059,606.250244455744,275.178866263071,456.312320432652,696.961248954558,593.636219724553,463.692849856255,436.824287430381,344.887049491292,540.280946091968,315.556958030925,657.236748106872,130.458889142559,220.295195562053,969.034929304497,581.289133214861,373.387644263408,510.052979696601,788.194596488155,482.969572916906,276.060070671378,507.163687080005,529.821374508023,561.062277912848,289.636795458495,299.177262528048,297.200907813682,580.735422221049,375.076187350556,267.753547734507,268.300317488709,502.120062486052,354.372563688625,435.333227798005,606.926097822206,486.72327078038,411.550860827217,428.265524625268,431.406384814495,407.725321888412,296.937303809281,381.201328758917,447.614216227507,609.843593054958,100.857286938981,143.018038150062,591.985428051002,678.007889546351,517.500940910802,539.932508436445
"hsa-let-7f-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1992716602478,0,0,0,0,0,25.9922543082162,0,19.5564594985724,0,0,0,19.7878739908184,0,21.8412143715191,0,20.0104054108136,0,0,0,0,0,0,0,0,0,0,0,21.1318202950002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g-5p",0,0,127.072876294555,0,0,0,27.4589488714372,0,75.0694392312889,0,0,0,0,0,0,0,0,0,0,0,87.7231457520067,29.3823823235588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6910171268787,0,0,0,0,0,0,39.5757479816369,0,0,0,20.0104054108136,0,0,0,40.0536719203733,0,0,0,0,43.7885886937864,22.9985510912813,0,0,0,0,0,0,0,0,0,0,0,0,39.3747292987361,39.5757479816369,0,18.0267878066807,0,0,0,0,0,27.2286663399227,0,0,33.6190956463271,0,0,0,0,0
"hsa-let-7i-3p",555.32417048452,568.467542689726,254.14575258911,176.044715357701,143.995392147451,414.615185281161,494.26107968587,30.6184935701163,150.138878462578,325.602735062975,0,35.6239535463646,116.529744217211,69.415521310565,129.842025535598,96.3925103019495,42.0168067226891,82.6787928896238,326.730651419236,163.901586203129,43.8615728760033,88.1471469706764,115.300357431108,63.5424940428912,282.16704288939,283.612218681704,303.133644045318,209.100033456005,0,205.380981721093,129.752173348904,0,170.41000647558,183.394901621735,101.869301685937,0,74.4352227474041,27.08192281652,43.6910171268787,25.9922543082162,99.3097969114653,97.7822974928619,183.452577508714,152.104106810884,0,0,92.738569971251,109.206071857595,28.7405874576076,60.0312162324409,105.185652676975,228.604086298043,228.303055999478,80.1073438407466,264.282253446681,332.165218979921,101.83299389002,49.3599657770904,131.365766081359,137.991306547688,0,42.2636405900004,37.8443838934302,0,115.854718183398,24.931438544004,135.091321733492,52.7941292928226,0,0,0,27.8955590270029,0,98.9393699540921,321.313816494109,198.294665873488,0,20.393596410727,39.2187622558632,64.3776824034335,42.4196148298973,27.2286663399227,179.045686491003,179.365762663223,0,17.8772547687577,91.0746812386157,30.8185404339251,188.182160331201,112.485939257593
"hsa-let-7i-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0104054108136,0,0,32.6147222856397,0,0,49.8247828469881,33.9443312966735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3747292987361,0,0,0,0,40.7871928214541,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1-3p",138.83104262113,87.4565450291886,127.072876294555,176.044715357701,143.995392147451,155.480694480435,192.21264210006,91.8554807103491,150.138878462578,296.002486420886,150.353330326267,213.743721278187,116.529744217211,138.83104262113,173.122700714131,144.588765452924,126.050420168067,82.6787928896238,40.8413314274045,72.8451494236128,87.7231457520067,58.7647646471176,115.300357431108,127.084988085782,94.0556809631302,316.978362056022,378.917055056648,83.6400133824021,247.494122014602,273.841308961457,97.3141300116777,84.9906510283869,136.328005180464,130.996358301239,50.9346508429685,138.876029997222,223.305668242212,27.08192281652,87.3820342537574,77.9767629246485,99.3097969114653,254.233973481441,45.8631443771785,118.303194186243,139.392249790912,138.515117935729,46.3692849856255,152.888500600633,114.962349830431,220.11445951895,52.5928263384874,114.302043149021,65.2294445712795,40.0536719203733,484.517464652249,249.12391423494,135.777325186694,213.893185034058,394.097298244078,137.991306547688,276.060070671378,84.5272811800008,113.533151680291,93.5103796521414,57.927359091699,99.725754176016,27.0182643466984,184.779452524879,46.8845234188194,59.5007883854461,89.433439162903,181.321133675519,78.7494585974721,158.302991926547,464.119957158158,234.348241486849,137.183620275739,81.5743856429081,196.093811279316,64.3776824034335,84.8392296597947,81.685999019768,179.045686491003,125.556033864256,33.6190956463271,35.7545095375154,182.149362477231,184.91124260355,47.0455400828002,112.485939257593
"hsa-miR-1-5p",485.908649173955,284.233771344863,1143.65588665099,1342.34095460247,191.993856196602,984.711065042757,1318.02954582899,398.040416411513,1351.2499061632,873.207334941613,0,142.495814185458,0,0,86.5613503570656,72.2943827264622,42.0168067226891,20.669698222406,40.8413314274045,91.0564367795159,87.7231457520067,88.1471469706764,230.600714862216,158.856235107228,846.501128668172,984.301229542383,113.675116516994,146.370023419204,41.249020335767,0,64.8760866744518,28.3302170094623,272.656010360928,78.5978149807435,203.738603371874,115.730024997685,260.523279615914,433.31076506432,0,51.9845086164323,99.3097969114653,78.2258379942895,137.589433131535,84.5022815616022,46.4640832636372,19.7878739908184,185.477139942502,87.3648574860762,86.2217623728229,100.052027054068,473.335437046387,200.028575510787,97.8441668569192,120.16101576112,176.188168964454,199.299131387952,169.721656483367,148.079897331271,43.7885886937864,91.994204365125,0,84.5272811800008,113.533151680291,70.132784739106,231.709436366796,24.931438544004,270.182643466984,290.367711110525,140.653570256458,89.2511825781692,804.900952466127,543.963401026557,433.122022286097,415.545353807187,142.806140664049,126.187514646765,0,0,549.062671582085,343.347639484979,0,0,179.045686491003,125.556033864256,1075.81106068247,1019.00352181919,318.761384335155,154.092702169625,94.0910801656003,134.983127109111
"hsa-miR-100-3p",277.66208524226,306.09790760216,190.609314441832,110.027947098563,95.9969280983009,155.480694480435,192.21264210006,122.473974280465,375.347196156445,236.801989136709,0,35.6239535463646,0,0,86.5613503570656,96.3925103019495,0,20.669698222406,163.365325709618,163.901586203129,0,117.529529294235,115.300357431108,0,376.222723852521,250.246075307386,189.458527528324,83.6400133824021,0,68.4603272403642,97.3141300116777,84.9906510283869,204.492007770696,209.594173281983,50.9346508429685,69.4380149986112,37.217611373702,54.1638456330399,0,51.9845086164323,99.3097969114653,78.2258379942895,45.8631443771785,50.7013689369613,232.320416318186,39.5757479816369,46.3692849856255,65.5236431145572,57.4811749152153,40.0208108216272,52.5928263384874,114.302043149021,65.2294445712795,80.1073438407466,132.141126723341,149.474348540964,203.665987780041,49.3599657770904,43.7885886937864,137.991306547688,110.424028268551,232.450023245002,0,0,57.927359091699,149.588631264024,27.0182643466984,52.7941292928226,0,89.2511825781692,44.7167195814515,83.6866770810087,157.498917194944,98.9393699540921,142.806140664049,126.187514646765,34.2959050689348,20.393596410727,117.65628676759,64.3776824034335,84.8392296597947,54.4573326798453,149.204738742502,107.619457597934,0,17.8772547687577,45.5373406193078,61.6370808678501,47.0455400828002,22.4971878515186
"hsa-miR-100-5p",763.570734416215,1005.75026783567,825.973695914607,594.15091433224,383.987712393203,570.095879761596,741.391619528804,91.8554807103491,375.347196156445,310.80261074193,75.1766651631334,178.119767731823,58.2648721086057,104.123281965848,43.2806751785328,144.588765452924,84.0336134453782,20.669698222406,653.461302838473,273.169310338548,219.307864380017,176.294293941353,230.600714862216,63.5424940428912,470.278404815651,433.759863866135,151.566822022659,376.38006022081,164.996081343068,171.150818100911,64.8760866744518,141.651085047311,749.804028492553,340.590531583222,101.869301685937,162.02203499676,148.870445494808,108.32769126608,87.3820342537574,103.969017232865,297.929390734396,312.903351977158,91.726288754357,185.905019435525,46.4640832636372,118.727243944911,185.477139942502,240.25335808671,114.962349830431,100.052027054068,631.113916061849,342.906129447064,260.917778285118,300.4025394028,1057.12901378672,730.763481755825,305.498981670061,213.893185034058,175.154354775146,252.984062004094,0,21.1318202950002,151.377535573721,187.020759304283,173.782077275097,174.520069808028,270.182643466984,79.191193939234,93.7690468376389,29.7503941927231,0,83.6866770810087,78.7494585974721,98.9393699540921,642.627632988218,396.589331746976,34.2959050689348,81.5743856429081,78.4375245117264,236.051502145923,381.776533469076,217.829330719381,179.045686491003,179.365762663223,0,17.8772547687577,91.0746812386157,92.4556213017751,94.0910801656003,67.4915635545557
"hsa-miR-101-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.669698222406,0,0,0,29.3823823235588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
