"","gene_id","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"1","hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","hsa-let-7a-3p",0,0,17.2108152763196,0,0,0,0,0,0,0,0,0,0,30.0622288136442,0,0,208.217656857302,90.8512764604343,0,84.2034355001684,98.135426889107
"3","hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,8.6008927726698,0,0,0,0,30.2837588201448,0,0,0
"5","hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,13.6163723260849,0,0,0,0,0,0,0,0,0,0,0
"6","hsa-let-7c-3p",0,0,0,0,0,9.39311109232489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","hsa-let-7e-3p",7346.5753085809,8068.16468104358,7245.75323133057,5896.78474583566,2955.0281651122,4489.9071021313,2871.87341876017,3400.25247383638,7924.09628637489,6957.96625862938,5704.46850032526,4276.47517327098,29320.4434620314,13558.0651949536,16936.2912999947,2980.71303331385,10619.1004997224,11598.6796281154,4063.24962060019,4968.00269450994,10647.6938174681
"11","hsa-let-7e-5p",2523.06626759344,2111.29543055346,1789.92478873724,2001.46343563035,4115.93208712056,6838.18487521252,5716.39566210358,5334.52783320438,1608.76364643116,1511.41732819542,1084.18260971094,1158.6509090143,2253.43390643949,3657.57117232672,4268.32481424883,3214.49444769141,2845.64131038312,3422.06474667636,5336.07480295687,5389.01987201078,6329.7350343474
"12","hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","hsa-let-7f-2-3p",13011.1064387662,11260.2422962851,9001.25638951517,8845.1771187535,6569.66083136551,8096.86176158405,11938.7880694173,13315.9587897544,2102.61667277747,2090.11315205403,7305.72281620603,7036.17097474141,1548.16069908056,2144.43898870662,1338.46234915951,3915.83869082408,2845.64131038312,6874.41325217286,3622.65628824595,2694.50993600539,2993.13052011776
"14","hsa-let-7f-5p",0,0,0,0,0,0,13.6755877083818,0,0,0,0,0,0,0,0,0,0,0,0,168.406871000337,0
"15","hsa-let-7g-3p",0,0,0,0,0,0,0,0,7.48262161130774,27.2327446521698,0,0,0,0,0,0,0,0,0,84.2034355001684,0
"16","hsa-let-7g-5p",0,0,0,0,0,0,0,0,0,0,33.3594649141828,0,0,0,0,233.781414377557,138.811771238201,0,0,0,0
"17","hsa-let-7i-3p",1038.9096395973,1131.05112351078,1376.86522210557,1097.57672276503,765.141221323694,1343.21488620246,1066.69584125378,977.318076312253,2027.7904566644,2117.3458967062,1534.53538605241,1348.24833048937,438.64553140616,631.306805086529,537.492754386889,701.344243132671,555.247084952804,363.405105841737,1028.05110882655,926.237790501852,441.609421000981
